Search term,Source language,to: cs,to: da,to: de,to: el,to: en,to: es,to: et,to: fi,to: fr,to: hu,to: it,to: lt,to: nl,to: pl,to: pt,to: ro,to: sv
hotel de l'union,fr,﻿hotel v Unii,﻿hotel i EU,﻿Hotel de l’Union,﻿ξενοδοχείο της Ένωσης,﻿hotel of the union,﻿hotel de la Unión,﻿Euroopa Liidu hotell,﻿hotelli unionin hotellissa,,﻿az Unió szállodája,﻿Hotel dell'Unione,﻿Sąjungos viešbutis,﻿hotel van de unie,﻿hotel w Unii,﻿hotel da União,﻿hotel la Uniunea Europeană,﻿unionens hotell
Karl von Hailbronner,en,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Hailbronner,﻿Karl von Heilbronner,﻿Karl von Haiailner,﻿Karl von Hailbronner,﻿Karl von Hailbronner
Adressbuch Striegau,pl,﻿Adresbuch Strigau,﻿Adressbuch Striegau,﻿Addiesbuch Striggau,﻿Adressbuch Striegau,﻿Adressbuch Striegau,﻿Adres-Sertachegau,﻿Adressbuch Striegau,﻿Adressbuch Striegau,﻿Adamesbuch Striegau,﻿(a magyar változatot nem érinti.),﻿Adessbuch Striegau,﻿Adressbuch Striegau,﻿Adressbuch Striegau,,﻿Adressbuch Strigiegau,﻿Adressbuch Striegau,﻿Adresbuch Strigeau
Aalst,en,﻿Aalst,﻿Aalst,﻿Aalst,﻿Aalst,,﻿Aalst,﻿Aalst,﻿Aalst,﻿Aalst,﻿Aalst,﻿Aalst,﻿Alstas,﻿Aalst,﻿Aalst,﻿Aalst,﻿Aalst,﻿Aalst
constructed language,ro,﻿jazyk jednotky,﻿enhedssprog,﻿Sprache der Einheit,﻿γλώσσα μονάδας,﻿unit language,﻿idioma de la unidad,﻿üksuse keel,﻿kieliyksikön kieli,﻿langue,﻿egységnyelv,﻿unità linguistica,﻿vieneto kalba,﻿taal van de eenheid,﻿język jednostki,﻿língua do serviço,,﻿enhetsspråk
Agricoltura,it,﻿Zemědělství,﻿Landbrug,﻿Landwirtschaft,﻿Γεωργία,﻿Agriculture,﻿Agricultura,﻿Põllumajandus,﻿Maatalous,﻿Agriculture,﻿Mezőgazdaság,,﻿Žemės ūkis,﻿Landbouw,﻿Rolnictwo,﻿Agricultura,﻿Agricultură,﻿Jordbruk
Ada Wright of the Women's Social and Political Union,en,﻿ADA Wright of the Women’ s Social and Political Union (Sociální a politická unie žen),﻿ADA Wright of the Women's Social and Political Union (kvinders sociale og politiske union),﻿ADA Wright von der Social and Politischen Union (Wright) der Women’s Social and Political,﻿ADA Wright of the Women’s Social and Political Union,,﻿ADA Wright of the Women’s Social and Political Union,﻿ADA Wright of the Women’s Social and Political Union,﻿ADA Wright of the Women’s Social and Political Union,﻿ADA Wright de l’Union sociale et politique des femmes,﻿ADA Wright of the Women’s Social and Political Union,﻿Wright of the Women's Social and Political Union,﻿ADS Wright of the Women’s Social and Political Union (Moterų socialinė ir politinė sąjunga),﻿ADA Wright van de sociale en politieke unie van de vrouw,﻿ADA Wright of the Women’s Social and Political Union (ADA Wright of the Women’s Social and Political,﻿Direito da Mulher da União Social e Política das Mulheres,﻿ADA Wright of the Women’s Social and political (Uniunea socială și politică a femeilor),﻿ADA Wright of the Women’s Social and Political Union
abstract landscapes,en,﻿abstraktní krajina,﻿abstrakt landskab,﻿abstrakte Landschaften,﻿αφηρημένα τοπία,,﻿paisajes abstractos,﻿abstraktsed maastikud,﻿abstrakti maisema,﻿paysages abstraits,﻿tájak,﻿paesaggi teorici,﻿abstraktūs kraštovaizdžiai,﻿abstracte landschappen,﻿krajobrazy abstrakcyjne,﻿paisagens abstratas,﻿peisaje abstracte,﻿abstrakta landskap
afbeelding der justitie soo tot leyden,nl,﻿vnímání spravedlnosti ve prospěch Leyden,﻿retsvæsenets image til Leyden,﻿Image der Justiz in Leyden,﻿εικόνα της δικαιοσύνης έως το Leyden,﻿image of justice soo to leyden,﻿imagen de la justicia,﻿õiguskaitse pilt Leydenisse,﻿oikeuskuva sopimisesta Leydeniin,﻿image de justice soo à Leyden,﻿az igazságszolgáltatás képe a Leydennek,﻿immagine della giustizia per Leyden,﻿Teisingumo Teismo įvaizdis Soo iki Leyden,,﻿wizerunek sądu w Leyden,﻿imagem da justiça no Leyden,﻿imaginea justiției în cazul lui Leyden,﻿rättvisans bild på Leyden
actas cortes navarra,es,"﻿zápis, společnost Cortes navarra","﻿protokol, Cortes navarra","﻿Protokoll, Cortes naarra","﻿πρακτικά, Cortes navarra","﻿minutes, Cortes navarra",,"﻿protokoll, Cortes navarra","﻿minuutit, Cortes navarra","﻿procès-verbal, Cortes navarra","﻿jegyzőkönyv, Cortes naavra","﻿minuti, Cortes napararra","﻿protokolas, Cortes navarbra","﻿notulen, Cortes navarra","﻿minuty, Cortes navarra","﻿atas, Cortes navoarra","﻿minute, Cortes navarra","﻿protokoll, Cortes nastorra"
aerial warfare,cs,,﻿uagtsomme warrants,﻿zufällige Optionsscheine,﻿πιστοποιητικά τυχαίας επιλογής,﻿accidental warrants,﻿certificados de opción (warrants) accidentales,﻿juhuslikud ostutähed,﻿varsinaiset warrantit,﻿les mandats accidentels,﻿baleseti warrantok,﻿mandati accidentali,﻿netyčiniai varantai,﻿ongewenste warrants,﻿warranty,﻿warrants acidentais,﻿warrante accidentale,﻿oförutsedda teckningsoptioner
Adressbuch Posen,de,﻿Knížka v Poznani,﻿Poznań-bogen,,﻿Βιβλίο διευθύνσεων στο Poznań,﻿Poznań address book,﻿Libro de direcciones de Poznan,﻿Poznańi aadressiraamat,﻿Poznańin osoitekirja,﻿Carnet d’adresses à Poznań,﻿A poznańi cím könyve,﻿Indirizzo di Poznań,﻿Poznanės adresų knyga,﻿De adresboek van Poznań,﻿Książka adresowa Poznania,﻿Livro de endereço de Poznań,﻿Registrul de adrese Poznań,﻿Adressbok för Poznań
Alano di piave,it,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Allano di Piave,,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave,﻿Piave Alano di Piave
Agenda sive exequiale divinorum sacramentorum per venerabilem virum dominum,lt,﻿Agenda SIVITNÍ exPLATNÁ diréuum osentorum,﻿Agenda SVARVE divinorum osaentorum,﻿Programm SIVE exquiale divinorum sentorum,﻿Πρόγραμμα SIVE exequale divinorum osientorum,﻿Agenda SIVE exequiale divinorum osentorum,﻿Orden del día SIVE exequiale divinorum oentorum,﻿JIVE exequale divinorum orenorum,﻿Esityslistalla on myös kattava divinalisti:,﻿Agenda SIVE Execale divinorum osentorum,﻿PATHuale divinorum osentorum agenda,﻿Ordine del giorno,,﻿Agenda SIVE exequiale divinorum osentorum,"﻿Wszystkie gatunki zwierząt, od których lub z których pozyskuje się żywność MLP nie jest wymagany NIE DOTYCZY BRAK WPISU BRAK WP@@",﻿Agenda SIVE exequiale divinum oentorum,﻿Ordinea de zi,﻿En dagordning för gemena exeequiale diovinorum osentorum
abba,en,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿abba,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿ABBA,﻿Abba
albert espinosa,es,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa,﻿Albert spinosa
Alonso sanchez de alarcon,es,﻿Alonso Sanchez de Alstarma,﻿Alonso Sanchez de alstarma,﻿Alonso Sanchez de alarma,﻿Alonso Sanchez de alma,﻿Alonso Sanchez de alarma,,﻿Alonso Sanchez de alma,﻿Alonso Sánchez de varotti,﻿Alonso Sanchez de alarme,﻿Alonso Sanchez de alma,﻿Alonso Sanchez de alarma,﻿Alonso Sanchez de alma,﻿Alonso Sanchez de alstarma,﻿Alonso Sanchez de alstarma,﻿Alonso Sanchez de alma,﻿Alonso Sanchez de alarma,﻿Alonso Sanchez de alma
